0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:34 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:34 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:34 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:34 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:52:34 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:11 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:11 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:12 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:12 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:12 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:12 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:12 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:12 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:19 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:19 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:40 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:53:40 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:57:45 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:57:45 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:58:34 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:58:34 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:58:50 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:58:50 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:59:20 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:59:20 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
